PhraseId	SentenceId	Phrase	Sentiment
132	4	the intrigue , betrayal , deceit and murder	1
133	4	intrigue , betrayal , deceit and murder	2
134	4	intrigue	3
135	4	, betrayal , deceit and murder	2
136	4	betrayal , deceit and murder	1
137	4	betrayal	2
138	4	, deceit and murder	1
139	4	deceit and murder	1
140	4	deceit and	2
141	4	deceit	1
142	4	murder	1
143	4	of a Shakespearean tragedy or a juicy soap opera	2
144	4	a Shakespearean tragedy or a juicy soap opera	2
145	4	a Shakespearean tragedy or	2
146	4	a Shakespearean tragedy	1
147	4	Shakespearean tragedy	2
148	4	Shakespearean	2
149	4	tragedy	1
150	4	or	2
151	4	a juicy soap opera	3
152	4	juicy soap opera	3
153	4	juicy	3
154	4	soap opera	1
155	4	soap	2
156	4	opera	2
157	5	Aggressive self-glorification and a manipulative whitewash .	1
158	5	Aggressive self-glorification and a manipulative whitewash	0
159	5	Aggressive	2
160	5	self-glorification and a manipulative whitewash	0
161	5	self-glorification and	1
162	5	self-glorification	2
163	5	a manipulative whitewash	1
164	5	manipulative whitewash	1
165	5	manipulative	2
166	5	whitewash	2
167	6	A comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .	4
168	6	A comedy-drama of nearly epic proportions	3
169	6	A comedy-drama	2
170	6	comedy-drama	2
171	6	of nearly epic proportions	3
172	6	nearly epic proportions	2
173	6	nearly epic	4
174	6	nearly	2
175	6	epic	3
176	6	proportions	2
177	6	rooted in a sincere performance by the title character undergoing midlife crisis .	4
178	6	rooted in a sincere performance by the title character undergoing midlife crisis	3
179	6	rooted in a sincere performance	3
180	6	rooted	3
181	6	in a sincere performance	4
182	6	in	2
183	6	a sincere performance	4
184	6	sincere performance	4
185	6	sincere	3
186	6	performance	2
187	6	by the title character undergoing midlife crisis	2
188	6	by	2
189	6	the title character undergoing midlife crisis	2
190	6	the title character	2
191	6	title character	2
192	6	title	2
193	6	character	2
194	6	undergoing midlife crisis	2
195	6	undergoing	2
196	6	midlife crisis	1
197	6	midlife	2
198	6	crisis	2
199	7	Narratively , Trouble Every Day is a plodding mess .	1
200	7	Narratively	2
201	7	, Trouble Every Day is a plodding mess .	1
202	7	Trouble Every Day is a plodding mess .	0
203	7	Trouble Every Day	2
204	7	Trouble	1
205	7	Every Day	2
206	7	Every	2
207	7	Day	2
208	7	is a plodding mess .	1
209	7	is a plodding mess	0
210	7	a plodding mess	1
211	7	plodding mess	0
212	7	plodding	1
213	7	mess	1
214	8	The Importance of Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations	3
215	8	The Importance	2
216	8	Importance	3
217	8	of Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations	2
218	8	Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations	3
219	8	Being	2
220	8	Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations	2
221	8	Earnest ,	3
222	8	Earnest	3
223	8	so thick with wit it plays like a reading from Bartlett 's Familiar Quotations	2
224	8	so	2
225	8	thick with wit it plays like a reading from Bartlett 's Familiar Quotations	3
226	8	thick	2
227	8	with wit it plays like a reading from Bartlett 's Familiar Quotations	3
228	8	with	2
229	8	wit it plays like a reading from Bartlett 's Familiar Quotations	2
230	8	wit	2
231	8	it plays like a reading from Bartlett 's Familiar Quotations	2
232	8	it	2
233	8	plays like a reading from Bartlett 's Familiar Quotations	3
234	8	plays	2
235	8	like a reading from Bartlett 's Familiar Quotations	2
236	8	like	2
237	8	a reading from Bartlett 's Familiar Quotations	2
238	8	a reading	2
239	8	reading	2
240	8	from Bartlett 's Familiar Quotations	2
241	8	from	2
242	8	Bartlett 's Familiar Quotations	2
243	8	Bartlett 's	2
244	8	Bartlett	2
245	8	Familiar Quotations	2
246	8	Familiar	2
247	8	Quotations	2
248	9	But it does n't leave you with much .	1
249	9	it does n't leave you with much .	1
250	9	does n't leave you with much .	1
251	9	does n't leave you with much	1
252	9	does n't	1
253	9	does	2
254	9	n't	2
255	9	leave you with much	2
256	9	leave you	2
257	9	leave	1
258	9	you	2
259	9	with much	2
260	10	You could hate it for the same reason .	1
261	10	could hate it for the same reason .	1
262	10	could hate it for the same reason	0
263	10	could	2
264	10	hate it for the same reason	1
265	10	hate it	0
266	10	hate	0
267	10	for the same reason	2
268	10	the same reason	2
269	10	same reason	2
270	10	same	2
271	10	reason	2
